machine_id,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code
160018737,99,3,2,11,17,0,1,1,0,75651
160032640,2,4,3,9,11,0,1,1,0,
160695337,99,1,3,11,16,0,1,1,0,08221
160767580,99,1,2,8,13,0,1,1,0,17331
160769361,99,3,3,8,11,0,2,1,0,30223
160819043,99,2,1,9,11,0,3,1,0,44146
160869592,99,2,5,7,15,1,2,1,0,60202
160929703,99,4,2,4,12,0,1,1,0,80241
160964313,99,3,3,4,15,1,1,1,1,
160971917,99,4,4,2,12,1,5,1,0,98409
161077165,99,4,2,7,11,0,1,1,0,84403
161092278,99,4,2,5,11,1,1,1,0,95901
161223166,3,1,2,4,14,1,3,1,1,10950
161283329,99,2,3,8,16,0,2,1,0,49316
161352803,4,3,4,3,16,1,1,1,1,33334
161403075,99,2,1,3,11,0,1,1,0,68507
161434609,4,1,1,11,16,0,1,1,0,11354
161532246,99,4,1,5,13,0,2,1,0,92056
161595923,99,4,3,9,11,0,5,1,1,91766
161697677,99,2,2,11,12,1,1,1,0,63033
161710429,99,4,5,1,12,1,5,1,1,98951
161714866,99,3,2,8,18,1,5,1,0,35550
162266826,2,4,2,11,11,0,1,1,0,
162394464,99,2,1,9,18,0,5,1,0,48331
162395253,99,3,2,8,13,0,1,1,0,77355
162535359,99,3,2,8,11,1,1,1,1,34746
162682832,2,4,1,6,11,0,1,1,0,89118
162729278,99,3,2,1,14,0,2,1,0,72116
162735795,99,3,3,7,12,0,1,1,0,70339
162742450,99,2,2,8,16,1,1,1,0,61265
162837898,99,3,1,2,13,0,2,1,0,20785
163083274,2,1,1,8,11,0,5,1,1,
163128100,2,3,5,11,16,1,1,1,0,20646
163130344,99,3,1,7,16,0,1,1,0,22310
163224099,99,1,1,11,12,0,1,1,0,14830
163231072,99,4,2,5,16,0,5,1,0,93619
163270852,99,3,5,6,18,1,5,1,0,76244
163273477,2,3,3,5,11,0,1,1,0,
163280987,99,2,2,9,15,0,2,1,0,60610
163388054,99,1,1,8,12,0,1,1,0,02302
163427225,99,3,2,9,16,0,1,1,0,27803
163446379,99,3,2,8,11,0,2,1,0,30906
163490999,99,3,1,7,12,0,1,1,0,76116
163491013,99,4,2,4,12,0,2,1,0,98030
163534072,4,3,2,8,11,1,1,1,0,37214
163645923,99,3,1,9,11,0,1,1,0,71701
163654030,2,1,4,9,11,1,5,1,0,08037
163694234,99,3,1,7,13,0,1,1,0,30101
163701870,99,4,2,7,12,0,1,1,0,80911
163732728,2,3,2,11,11,0,1,1,1,37043
163809553,99,4,5,7,11,0,5,1,0,90011
163991633,99,4,1,8,13,0,1,1,0,85013
164041653,2,3,1,11,11,0,1,1,1,33498
164050558,99,3,5,6,14,1,1,1,0,
164097252,99,4,1,9,12,0,1,1,0,98166
164145391,99,4,1,3,18,0,5,1,1,92055
164206285,99,4,5,9,12,0,5,1,0,83201
164209397,4,4,4,11,12,1,1,1,1,
164253820,99,2,3,3,12,1,5,1,0,48755
164569712,99,3,2,7,11,1,2,1,0,29607
164576833,99,4,2,7,16,0,1,1,0,98115
164580594,99,4,4,5,16,0,1,1,0,99688
164703548,99,1,5,5,13,0,5,1,1,01830
164755503,99,1,1,11,13,0,1,1,0,15601
164919207,99,3,1,7,12,0,2,1,0,20782
165003802,99,1,3,8,11,1,1,1,0,15201
165113884,99,2,2,9,12,1,5,1,0,44022
165159551,99,4,5,6,12,1,2,0,0,
165282060,99,4,1,6,12,0,1,1,0,85210
165288318,3,3,1,11,13,0,5,1,1,22193
165408952,99,4,2,8,15,1,3,1,0,87110
165509723,99,2,3,4,11,0,1,1,0,48203
165512331,99,2,5,4,13,0,1,1,0,48176
165516710,2,4,4,10,13,1,2,1,1,94804
165613540,99,3,1,8,15,0,1,1,0,21403
165672013,99,3,5,9,13,0,1,1,0,76049
165862255,3,3,2,5,11,0,5,1,0,31605
166121273,99,3,2,7,15,0,2,1,0,42101
166124700,99,2,2,9,13,0,1,1,0,54494
166137535,99,4,2,10,11,0,1,1,0,97439
166145319,4,2,2,9,16,0,3,1,0,46530
166205189,3,3,1,7,14,0,1,1,0,74080
166307600,99,1,1,8,12,0,5,1,1,17602
166357693,3,2,1,8,14,0,1,1,0,68516
166415974,99,2,2,7,15,0,1,1,0,49445
166480935,99,1,2,8,15,0,2,1,1,08854
166482272,2,4,4,10,13,0,5,1,1,95348
166537531,99,3,4,6,11,0,5,1,1,73123
166603171,99,3,2,9,12,0,1,1,0,37620
166604789,99,4,1,5,16,0,1,1,0,
166707763,99,3,2,8,16,0,1,1,0,20878
166713307,99,2,5,11,12,0,5,1,0,50310
166768758,99,4,3,2,14,1,5,1,1,91763
166876737,3,4,4,6,12,1,1,1,1,84404
166992449,99,4,5,1,11,1,5,1,1,90059
167049417,4,3,4,7,11,0,2,1,0,
167053092,3,3,4,7,16,0,5,1,0,28376
167053148,4,2,2,8,12,0,1,1,0,54901
167069785,99,2,1,3,13,0,2,1,0,63368
167168655,99,2,3,11,11,0,2,1,0,60607
167221733,99,4,1,8,12,0,1,1,0,90710
167224774,99,3,1,6,12,0,1,1,0,37211
167275304,99,3,2,8,15,0,1,1,0,76164
167290381,99,2,4,8,16,1,1,1,0,44256
167332488,99,3,3,10,13,0,1,1,0,37075
167336268,2,4,1,7,15,0,1,1,0,89084
167341253,3,3,1,4,11,0,2,1,0,23518
167401068,99,4,2,5,11,0,5,1,0,86001
167451822,99,4,1,3,16,0,1,1,0,96813
167502362,2,3,2,11,12,0,1,1,0,25541
167520115,99,3,2,9,12,0,1,1,0,36535
167570267,99,3,1,5,14,0,2,1,0,23805
167579954,4,3,3,6,18,1,1,1,0,23834
167709288,99,4,1,9,11,0,1,1,0,95682
167713833,99,3,2,1,13,1,3,1,0,28054
167717961,99,4,3,11,11,0,1,1,0,94119
167764924,3,1,2,10,15,1,2,1,0,19050
167870903,2,3,2,10,11,1,1,1,1,27025
167992371,2,1,2,6,13,0,1,1,0,19020
168133076,3,3,5,8,17,1,3,1,0,33776
168213254,4,2,2,11,13,1,1,1,0,44105
168310869,99,2,2,6,11,0,2,1,0,63114
168311755,4,2,2,11,13,0,5,1,0,48210
168463837,2,4,4,3,13,1,5,1,1,89502
168552225,3,4,3,6,13,1,5,1,1,90022
168552731,2,3,5,8,14,1,1,1,0,38015
168563713,2,4,2,9,11,1,1,1,0,
168688456,99,3,2,8,12,0,2,1,0,33313
168692294,99,4,2,7,11,1,5,1,1,93307
168701896,99,3,1,6,16,0,5,1,0,20068
168763380,99,4,4,11,12,1,5,1,0,95624
168818600,99,3,2,7,13,0,1,1,0,70364
168822727,99,3,4,7,11,0,2,1,0,39272
168877653,99,3,2,8,13,0,1,1,0,21740
168880208,3,3,5,7,14,1,1,1,0,
169061637,99,4,1,11,11,0,1,1,0,85345
169066858,2,1,5,4,13,1,2,1,1,07067
169139746,99,3,2,8,12,0,1,1,0,40361
169139792,99,3,2,7,12,0,1,1,0,29045
169148319,4,3,2,11,16,0,5,1,0,33823
169152248,4,1,5,8,16,0,1,1,0,08854
169154037,2,3,1,11,11,0,2,1,0,30301
169164686,99,1,4,8,12,0,1,1,0,11214
169225150,99,3,2,8,11,0,2,1,0,30013
169226483,3,4,3,10,15,1,1,1,0,80831
169230877,99,3,1,7,11,0,2,1,0,20740
169236947,4,4,5,8,18,1,1,1,1,92886
169255162,99,2,3,8,12,0,1,1,0,48917
169524600,2,1,5,10,11,1,5,1,1,11226
169595541,3,3,2,7,11,0,1,1,0,73446
169606296,99,1,1,7,12,0,1,1,0,11779
169759483,99,3,5,11,12,1,1,1,0,28538
169809328,99,3,2,4,14,0,3,1,0,77099
169885541,3,4,2,10,12,0,1,1,0,89445
169899315,99,4,2,9,15,0,1,1,0,87508
169903767,99,1,4,9,15,0,3,1,0,11434
169960798,99,2,2,9,11,1,1,1,0,47932
170131362,99,3,1,11,15,0,3,1,0,20121
170176418,3,3,1,11,11,0,5,1,1,20708
170185675,99,1,2,7,11,0,5,1,1,07104
170208298,99,3,2,8,12,0,2,1,0,33023
170273451,99,1,2,8,14,0,1,1,0,07508
170349619,99,2,3,11,18,1,2,1,1,48227
170400260,1,1,4,6,11,0,5,1,1,01907
170412175,99,3,1,1,11,0,5,1,0,71201
170484373,99,3,3,1,12,1,5,1,0,38053
170537107,99,1,2,5,13,1,3,1,0,
170547626,99,1,3,7,18,1,5,1,1,07206
170548392,99,3,1,8,11,0,5,1,0,37879
170615862,2,3,3,4,11,1,1,1,0,30060
170638255,99,1,5,8,15,1,1,1,1,12401
170711706,99,3,2,7,13,0,1,1,0,77089
171030093,99,4,1,9,11,0,5,1,0,89509
171046151,99,4,4,7,11,0,1,1,0,88101
171113044,99,3,2,8,12,0,1,1,0,29902
171125476,99,4,1,8,13,0,1,1,0,90022
171313632,99,2,1,8,11,0,5,1,1,60429
171384194,99,2,4,7,11,0,1,1,0,46835
171439485,99,3,1,8,15,0,2,1,0,70791
171444066,3,4,1,11,11,0,1,1,1,92243
171496606,3,3,1,4,14,0,2,1,1,33021
171509901,2,1,5,4,11,1,1,1,0,04530
171552065,1,3,2,8,13,1,1,1,0,70538
171570820,99,4,2,7,13,0,1,1,0,80525
171705365,99,4,3,11,13,0,1,1,0,99203
171781504,99,3,3,6,13,0,1,1,0,36426
171834249,99,1,2,4,12,0,5,1,0,07107
171846064,99,3,2,4,12,1,2,1,0,78759
171852391,99,4,3,11,14,0,1,1,0,80513
171902523,1,4,5,7,11,1,3,1,0,96797
171986013,4,3,3,8,18,1,5,1,1,33334
171990611,3,1,2,11,11,0,1,1,0,18201
171996614,2,3,1,11,13,0,1,1,0,77532
172040418,99,4,2,8,16,0,5,1,0,95076
172062032,99,1,1,5,11,0,2,1,0,18702
172114341,99,4,2,8,12,0,3,1,1,98118
172115212,3,2,4,8,16,1,2,1,0,48236
172172806,1,1,1,8,15,0,2,1,0,11375
172176789,2,3,2,4,11,0,2,1,0,
172183317,2,1,1,9,12,0,1,1,1,17046
172192669,99,3,2,9,11,0,2,1,0,36693
172194293,99,2,1,9,13,0,5,1,0,48154
172336012,99,2,4,8,11,1,1,1,0,50801
172381807,2,3,5,6,16,1,5,1,1,78572
172383788,99,3,4,6,12,0,2,1,0,31408
172457580,99,4,2,7,13,0,1,1,0,84074
172468452,99,1,2,8,13,0,1,1,0,03824
172527070,99,4,3,1,12,0,3,1,0,89119
172592052,99,4,3,3,11,0,2,1,1,90009
172610671,3,3,1,8,14,0,3,1,1,33316
172678649,99,3,4,7,14,0,1,1,0,79119
172683918,2,3,2,7,15,1,2,1,1,75211
172685324,4,4,2,6,11,1,1,1,1,
172736970,99,4,3,6,12,0,1,1,0,89048
172742945,99,4,5,2,13,1,5,1,1,84604
172858210,99,4,2,6,13,0,1,1,0,84663
172878811,99,1,1,1,13,0,1,1,0,14075
172946253,2,3,2,9,12,1,1,1,0,30016
172946352,99,2,2,7,17,0,1,1,0,46062
173070482,3,4,1,11,11,0,1,1,0,85383
173118463,99,4,1,7,11,0,1,1,0,92021
173241408,99,3,2,2,12,0,5,1,0,25309
173308717,99,2,2,8,13,0,1,1,0,55124
173377808,3,2,2,9,15,0,5,1,0,
173497763,99,1,1,7,12,0,2,1,0,11233
173509305,99,1,1,9,16,0,3,1,0,07410
173516428,99,3,2,3,16,0,2,1,1,27614
173563016,99,3,2,7,12,0,1,1,0,32246
173580506,3,3,2,5,12,1,2,1,1,39564
173581163,99,1,3,8,12,0,1,1,0,19007
173584180,4,3,2,7,18,0,2,1,0,23455
173761834,2,3,2,9,12,1,1,1,0,71118
173858136,99,4,3,4,13,1,1,1,0,98258
173860877,4,1,2,11,16,0,1,1,0,05478
173917057,99,3,1,9,12,0,1,1,0,28318
173922291,99,3,2,5,12,0,2,1,1,33830
173984154,99,2,4,4,12,0,1,1,0,63552
174048910,4,1,5,11,16,1,1,1,1,
174126900,99,4,2,4,11,0,5,1,0,89119
174192833,99,3,1,2,16,0,5,1,0,73505
174347897,3,3,4,11,13,1,2,1,1,33012
174350605,99,2,5,8,14,1,1,1,0,46514
174414995,2,3,1,9,11,0,1,1,1,28016
174476934,99,4,3,8,11,1,5,1,1,88240
174481718,99,4,4,2,12,1,1,1,1,90022
174553791,99,3,4,8,11,0,1,1,0,78801
174730291,99,4,2,8,18,0,1,1,0,95382
174745069,99,3,2,9,11,0,2,1,0,30301
174753315,99,4,2,8,12,0,3,1,0,91770
174798967,99,4,2,7,13,1,1,1,0,91702
174819805,2,1,2,7,12,0,1,1,1,19149
174823443,99,2,2,8,11,0,1,1,0,65270
174876067,3,3,3,5,16,1,2,1,0,30318
175090067,99,3,3,4,12,1,5,1,1,
175220934,99,4,2,8,18,1,5,1,0,80132
175347880,99,4,1,9,12,0,1,1,0,92308
175518197,1,1,4,4,13,1,5,1,1,11372
175534857,99,3,1,9,12,0,1,1,0,25537
175586845,1,1,5,6,11,1,2,1,1,10455
175587653,99,4,5,5,11,1,5,1,1,95987
175597479,2,2,2,5,13,1,1,1,0,46221
175597590,99,2,2,11,11,0,1,1,0,64058
175659345,3,2,2,9,13,1,1,1,0,45424
175665139,99,3,3,4,11,0,1,1,0,42262
175671855,99,3,1,6,13,0,3,1,0,22153
175675346,99,2,1,9,15,0,1,1,0,44632
175752503,99,2,2,4,12,0,1,1,0,47906
175752828,99,4,3,11,11,0,2,1,0,92404
175931813,99,3,5,4,11,0,5,1,1,77039
175935082,2,2,2,7,12,1,1,1,0,46563
176084354,99,1,1,7,12,0,2,1,1,10456
176146504,99,3,2,6,12,0,1,1,0,76401
176204978,99,3,2,11,11,1,1,1,0,31768
176301789,99,1,5,4,12,0,5,1,0,19144
176373172,99,3,2,8,11,0,1,1,0,77388
176420656,3,3,2,5,14,1,1,1,0,24319
176567548,3,4,2,7,12,0,1,1,1,95621
176568467,99,4,1,9,16,0,5,1,0,
176574129,99,4,1,5,12,0,1,1,0,95113
176577311,99,2,1,9,12,0,1,1,0,48532
176578852,2,4,2,9,12,1,1,1,0,95422
176622754,4,4,1,8,11,0,1,1,0,98003
176633321,99,4,1,5,12,0,5,1,0,
176638509,99,1,1,4,11,0,2,1,0,14701
176640355,99,3,1,4,11,0,2,1,0,77067
176755124,99,3,5,7,13,0,1,1,0,23666
176770387,4,3,3,11,17,0,1,1,0,33056
176777246,99,1,2,8,12,0,1,1,0,13021
176833634,2,3,4,2,11,1,1,1,0,33990
176901126,4,3,3,8,15,1,1,1,0,23112
177008816,4,3,2,10,16,0,1,1,0,77503
177060614,99,1,2,8,12,0,1,1,0,16127
177067886,99,4,3,7,14,0,1,1,0,80241
177074493,3,2,2,3,12,0,1,1,0,52356
177082889,99,3,1,8,11,0,2,1,0,40744
177118848,3,3,3,11,13,0,2,1,0,27526
177183658,99,2,3,10,11,1,1,1,0,67212
177196734,99,3,2,6,13,1,5,1,1,77034
177247136,99,1,1,7,11,0,2,1,0,10456
177249152,2,4,5,5,15,1,1,1,0,84790
177253476,99,4,1,3,11,0,2,1,0,95113
177306182,4,4,1,6,14,0,2,1,1,93536
177355096,3,3,1,9,13,0,1,1,1,34953
177373022,5,3,2,11,15,0,2,1,0,
177379528,2,1,5,10,17,0,1,1,0,
177379976,3,3,2,4,13,1,1,1,0,76549
177380187,3,4,5,8,11,1,2,1,0,95826
177428160,99,3,2,4,13,0,2,1,0,28269
177429669,5,3,3,9,13,1,1,1,0,24401
177433977,2,4,1,8,13,0,1,1,0,93306
177437454,3,4,1,6,12,0,1,1,0,85019
177444646,99,3,1,7,12,0,1,1,0,72901
177545040,1,4,4,11,16,1,5,1,0,91935
177603548,99,3,2,7,11,0,1,1,0,73135
177607416,99,4,3,5,12,0,2,1,0,98277
177657143,99,2,2,8,12,1,1,1,0,44035
177662314,3,3,5,6,12,1,5,1,0,32566
177677724,3,2,2,11,11,0,1,1,0,58433
177713525,99,3,2,9,11,1,1,1,1,76825
177741245,99,3,3,6,16,0,1,1,0,75243
177866224,2,2,1,11,11,0,1,1,0,47130
177871866,2,4,3,11,13,0,2,1,1,92882
177876035,99,1,2,9,15,0,1,1,0,02806
177878526,99,4,1,7,11,0,1,1,0,85016
177880683,99,2,4,1,12,1,2,1,0,60612
177885228,99,1,1,8,13,0,2,1,0,
177927483,4,1,5,10,18,0,1,1,0,07016
177998667,3,2,3,6,18,1,2,1,0,49417
178020127,3,2,4,5,11,1,5,1,0,64134
178076410,4,1,5,8,18,1,5,1,0,08820
178078017,2,3,3,4,12,0,1,1,0,34638
178125690,3,3,2,9,11,1,1,1,0,22980
178133227,2,3,4,11,11,0,1,1,0,20068
178187560,99,4,2,8,15,0,1,1,0,91367
178208367,2,2,5,8,14,1,1,1,0,44308
178209054,99,3,1,3,11,0,1,1,0,76542
178212903,2,1,2,10,16,0,1,1,0,06437
178251137,99,2,2,7,13,0,5,1,0,43068
178317721,4,2,2,4,15,0,1,1,0,50320
178336191,99,2,2,8,13,0,1,1,0,47802
178372384,99,3,5,11,11,1,5,1,0,41653
178378733,99,1,2,8,13,0,1,1,0,19608
178397287,3,3,2,7,12,1,2,1,0,30035
178457132,4,3,5,4,15,1,2,1,0,19702
178458320,99,3,1,4,12,0,3,1,1,78223
178503283,99,4,3,7,11,1,5,1,0,98901
178516746,3,2,1,11,13,0,5,1,0,
178518476,2,3,2,3,11,1,2,1,0,
178578814,99,4,1,5,13,0,5,1,0,87114
178581979,99,3,1,2,16,0,1,1,0,28110
178589645,2,1,1,9,12,0,1,1,0,15857
178591831,99,3,2,8,15,1,1,1,0,77002
178638812,2,3,3,9,11,1,5,1,1,32118
178654804,99,3,3,3,16,1,1,1,0,28117
178661062,99,4,5,8,11,1,5,1,1,98902
178716898,99,3,2,5,12,0,1,1,0,37013
178720192,2,4,1,10,11,0,5,1,0,96818
178721788,3,3,3,11,16,1,1,1,0,23111
178780061,99,4,1,7,11,0,2,1,0,93257
178784510,99,4,1,11,12,0,1,1,0,83221
178785856,99,3,3,9,13,1,1,1,0,24551
178827535,2,4,2,9,11,1,2,1,0,92553
178836354,2,2,1,10,15,0,1,1,0,46075
178895012,4,3,5,6,13,1,1,1,0,76111
178897904,99,3,2,7,13,1,5,1,0,77089
178902277,2,1,5,7,13,1,5,1,1,
178978238,99,1,5,8,12,1,1,1,0,01201
178991355,99,3,5,8,13,0,5,1,0,31069
178992670,99,4,2,7,16,1,3,1,1,92683
179037756,99,3,2,7,11,0,5,1,0,77074
179105941,99,4,2,8,14,0,5,1,0,90303
179107255,2,2,3,7,16,1,1,1,0,60005
179238236,4,1,2,11,16,0,1,1,0,17042
179240328,99,3,5,4,16,1,5,1,0,30126
179243916,4,1,2,9,11,0,1,1,0,14618
179259072,99,2,2,9,14,1,2,1,0,44060
179263985,99,4,2,8,14,0,1,1,0,90604
179310985,99,2,5,1,11,1,1,1,0,57401
179321531,99,3,2,5,11,0,1,1,0,77373
179371538,99,4,1,2,13,0,5,1,0,95076
179386993,99,3,4,9,12,0,1,1,0,37683
179427815,3,1,1,10,13,0,1,1,0,17109
179436859,4,1,5,5,15,1,1,1,0,18104
179498129,99,4,2,8,14,1,1,1,0,83316
179499694,2,3,4,8,11,1,5,1,0,
179574817,2,2,2,11,11,0,1,1,0,44408
179619616,99,1,2,9,15,0,1,1,1,18045
179689810,2,1,3,3,11,1,5,1,1,03060
179699053,3,3,2,5,16,0,1,1,0,31088
179740825,3,3,4,5,12,1,1,1,0,71111
179746194,99,2,2,7,12,0,1,1,0,52803
179818294,99,4,4,9,11,0,5,1,1,
179825459,99,3,2,8,11,0,1,1,0,37721
179836610,99,3,2,9,18,0,2,1,0,29102
179837930,4,3,2,5,11,1,2,1,0,30315
179886729,4,3,2,6,14,1,2,1,0,21204
179894542,99,4,2,8,12,0,1,1,0,91901
179951341,3,4,4,6,17,1,1,1,0,80015
179953158,99,3,5,11,12,0,1,1,1,32627
179963199,99,2,5,8,12,0,1,1,0,43147
179966682,3,4,2,5,14,1,1,1,0,99353
180009872,99,3,5,9,15,1,5,1,1,20706
180079943,4,1,4,5,15,1,1,1,0,11375
180095898,99,3,2,6,13,0,1,1,0,77433
180150369,2,2,4,8,13,1,1,1,0,60099
180174369,99,1,3,9,13,0,1,1,0,02149
180175662,99,3,2,9,12,0,1,1,0,32962
180223612,99,4,5,8,18,1,2,1,0,95661
180229338,99,3,3,4,12,0,5,1,1,33071
180301956,99,2,2,6,15,0,1,1,0,55407
180313229,2,3,2,11,11,0,2,1,0,32254
180370567,99,3,3,5,11,1,2,1,0,36701
180380118,4,2,2,8,16,1,1,1,0,
